ground,date,winner,host_country,home_team,away_team,neutral
Melbourne,"Jan 5, 1971",Australia,Australia,Australia,England,False
Manchester,"Aug 24, 1972",England,England,England,Australia,False
Lord's,"Aug 26, 1972",Australia,England,England,Australia,False
Birmingham,"Aug 28, 1972",England,England,England,Australia,False
Christchurch,"Feb 11, 1973",New Zealand,New Zealand,New Zealand,Pakistan,False
Swansea,"Jul 18, 1973",England,England,England,New Zealand,False
Leeds,"Sep 5, 1973",England,England,England,West Indies,False
The Oval,"Sep 7, 1973",West Indies,England,England,West Indies,False
Dunedin,"Mar 30, 1974",Australia,New Zealand,New Zealand,Australia,False
Christchurch,"Mar 31, 1974",Australia,New Zealand,New Zealand,Australia,False
Leeds,"Jul 13, 1974",England,England,England,India,False
The Oval,"Jul 15-16, 1974",England,England,England,India,False
Nottingham,"Aug 31, 1974",Pakistan,England,England,Pakistan,False
Birmingham,"Sep 3, 1974",Pakistan,England,England,Pakistan,False
Melbourne,"Jan 1, 1975",England,Australia,Australia,England,False
Lord's,"Jun 7, 1975",England,England,England,India,False
Birmingham,"Jun 7, 1975",New Zealand,England,East Africa,New Zealand,True
Leeds,"Jun 7, 1975",Australia,England,Australia,Pakistan,True
Manchester,"Jun 7, 1975",West Indies,England,Sri Lanka,West Indies,True
Nottingham,"Jun 11, 1975",England,England,England,New Zealand,False
Leeds,"Jun 11, 1975",India,England,East Africa,India,True
The Oval,"Jun 11, 1975",Australia,England,Australia,Sri Lanka,True
Birmingham,"Jun 11, 1975",West Indies,England,Pakistan,West Indies,True
Birmingham,"Jun 14, 1975",England,England,England,East Africa,False
Manchester,"Jun 14, 1975",New Zealand,England,India,New Zealand,True
The Oval,"Jun 14, 1975",West Indies,England,Australia,West Indies,True
Nottingham,"Jun 14, 1975",Pakistan,England,Pakistan,Sri Lanka,True
Leeds,"Jun 18, 1975",Australia,England,England,Australia,False
The Oval,"Jun 18, 1975",West Indies,England,New Zealand,West Indies,True
Lord's,"Jun 21, 1975",West Indies,England,Australia,West Indies,True
Adelaide,"Dec 20, 1975",Australia,Australia,Australia,West Indies,False
Christchurch,"Feb 21, 1976",New Zealand,New Zealand,New Zealand,India,False
Auckland,"Feb 22, 1976",New Zealand,New Zealand,New Zealand,India,False
Scarborough,"Aug 26, 1976",West Indies,England,England,West Indies,False
Lord's,"Aug 28-29, 1976",West Indies,England,England,West Indies,False
Birmingham,"Aug 30-31, 1976",West Indies,England,England,West Indies,False
Sialkot,"Oct 16, 1976",New Zealand,Pakistan,Pakistan,New Zealand,False
Albion,"Mar 16, 1977",West Indies,West Indies,West Indies,Pakistan,False
Manchester,"Jun 2, 1977",England,England,England,Australia,False
Birmingham,"Jun 4, 1977",England,England,England,Australia,False
The Oval,"Jun 6, 1977",Australia,England,England,Australia,False
Sahiwal,"Dec 23, 1977",England,Pakistan,Pakistan,England,False
Sialkot,"Dec 30, 1977",England,Pakistan,Pakistan,England,False
Lahore,"Jan 13, 1978",Pakistan,Pakistan,Pakistan,England,False
St John's,"Feb 22, 1978",West Indies,West Indies,West Indies,Australia,False
Castries,"Apr 12, 1978",Australia,West Indies,West Indies,Australia,False
Manchester,"May 24-25, 1978",England,England,England,Pakistan,False
The Oval,"May 26, 1978",England,England,England,Pakistan,False
Scarborough,"Jul 15, 1978",England,England,England,New Zealand,False
