"Agency","Agency.Type","Distribution.Channel","Product.Name","Claim","Duration","Destination","Net.Sales","Commision..in.value.","Gender","Age"
"CBH","Travel Agency","Offline","Comprehensive Plan","No",186,"MALAYSIA",-29,9.57,"F",71
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",-1,"AUSTRALIA",-49.5,29.7,"",32
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",60,"AUSTRALIA",-39.6,23.76,"",32
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",47,"UNITED STATES",-39.6,23.76,"",32
"JZI","Airlines","Online","Basic Plan","No",33,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-26,9.1,"",118
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",6,"DENMARK",-19.8,11.88,"",53
"JZI","Airlines","Online","Basic Plan","No",3,"MALAYSIA",-18,6.3,"M",47
"C2B","Airlines","Online","Bronze Plan","Yes",12,"SINGAPORE",94,23.5,"M",34
"C2B","Airlines","Online","Silver Plan","No",190,"SINGAPORE",294.75,73.69,"M",26
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",29,"UNITED STATES",9.9,5.94,"",33
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",28,"UNITED STATES",9.9,5.94,"",33
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",153,"JAPAN",69.3,41.58,"",35
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",-1,"UNITED KINGDOM",29.7,17.82,"",61
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",28,"THAILAND",20,0,"",44
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",24,"CHINA",43,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",11,"PHILIPPINES",43,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",105,"JAPAN",44,0,"",25
"EPX","Travel Agency","Online","Cancellation Plan","No",1,"INDIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",15,"MYANMAR",16,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",2,"SINGAPORE",14,0,"",31
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"THAILAND",19,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"THAILAND",10,0,"",64
"EPX","Travel Agency","Online","Cancellation Plan","No",279,"NAMIBIA",80,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",36,"TAIWAN, PROVINCE OF CHINA",16,0,"",20
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"INDIA",25,0,"",43
"EPX","Travel Agency","Online","Cancellation Plan","No",2,"MALAYSIA",10,0,"",35
"EPX","Travel Agency","Online","Cancellation Plan","No",38,"KOREA, REPUBLIC OF",0,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"MALAYSIA",15,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"MALAYSIA",10,0,"",29
"EPX","Travel Agency","Online","Cancellation Plan","No",126,"CHINA",27,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",50,"AUSTRALIA",24,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",2,"CHINA",26,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",1,"SINGAPORE",86,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",8,"NEW ZEALAND",28,0,"",36
"JWT","Airlines","Online","Value Plan","No",11,"INDIA",50,20,"M",118
"RAB","Airlines","Online","Value Plan","No",4,"BRUNEI DARUSSALAM",15,6,"M",44
"SSI","Airlines","Online","Ticket Protector","No",55,"SINGAPORE",21.35,5.98,"",48
"SSI","Airlines","Online","Ticket Protector","No",15,"SINGAPORE",6.5,1.82,"",48
"JZI","Airlines","Online","Basic Plan","No",45,"AUSTRALIA",26,9.1,"M",31
"JZI","Airlines","Online","Basic Plan","No",76,"AUSTRALIA",35,12.25,"M",57
"C2B","Airlines","Online","Bronze Plan","No",-1,"SINGAPORE",4,11.75,"M",30
"C2B","Airlines","Online","Bronze Plan","No",23,"SINGAPORE",30.55,7.64,"F",35
"C2B","Airlines","Online","Silver Plan","No",13,"SINGAPORE",19.5,4.88,"M",34
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",26,"UNITED STATES",148.5,89.1,"",40
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",152,"UNITED STATES",9.9,5.94,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",30,"MALAYSIA",59.4,35.64,"",27
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",34,"AUSTRALIA",19.8,11.88,"",34
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",20,"AUSTRALIA",148.5,89.1,"",34
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",2,"SINGAPORE",9.9,5.94,"",44
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",4,"VIET NAM",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",62,"TAIWAN, PROVINCE OF CHINA",22,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",4,"MALAYSIA",20,0,"",53
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",12,"CHINA",27,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",12,"MALAYSIA",20,0,"",27
"EPX","Travel Agency","Online","Cancellation Plan","No",22,"HONG KONG",29,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",1,"UNITED STATES",20,0,"",47
"EPX","Travel Agency","Online","Cancellation Plan","No",49,"INDIA",24,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"CHINA",33,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",59,"MYANMAR",16,0,"",21
"EPX","Travel Agency","Online","Cancellation Plan","No",38,"HONG KONG",12,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",25,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",19,"KOREA, REPUBLIC OF",19,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",20,"MALAYSIA",13,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",24,"THAILAND",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",94,"AUSTRALIA",80,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",57,"SINGAPORE",11,0,"",40
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"SRI LANKA",10,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",26,"MALAYSIA",20,0,"",24
"SSI","Airlines","Online","Ticket Protector","No",11,"SINGAPORE",7.21,2.02,"",48
"JZI","Airlines","Online","Basic Plan","No",15,"CAMBODIA",30,10.5,"M",57
"JZI","Airlines","Online","Basic Plan","No",90,"MALAYSIA",22,7.7,"F",57
"JZI","Airlines","Online","Basic Plan","No",28,"HONG KONG",35,12.25,"M",52
"C2B","Airlines","Online","Bronze Plan","No",9,"SINGAPORE",17.55,4.39,"F",26
"C2B","Airlines","Online","Bronze Plan","No",55,"SINGAPORE",94,23.5,"M",30
"C2B","Airlines","Online","Bronze Plan","No",32,"SINGAPORE",44.85,11.21,"F",27
"C2B","Airlines","Online","Silver Plan","No",13,"SINGAPORE",62.25,15.56,"M",27
"C2B","Airlines","Online","Silver Plan","Yes",10,"SINGAPORE",43.55,10.89,"M",45
"C2B","Airlines","Online","Silver Plan","No",10,"SINGAPORE",43.55,10.89,"F",46
"C2B","Airlines","Online","Silver Plan","No",34,"SINGAPORE",109,27.25,"F",27
"C2B","Airlines","Online","Annual Silver Plan","No",388,"SINGAPORE",260.63,65.16,"F",30
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",17,"UNITED STATES",118.8,71.28,"",32
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",133,"NORWAY",0,65.34,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",18,"AUSTRALIA",138.6,83.16,"",51
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",5,"AUSTRALIA",29.7,17.82,"",29
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",8,"SOUTH AFRICA",49.5,29.7,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",103,"UNITED STATES",158.4,95.04,"",29
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",12,"JAPAN",29.7,17.82,"",31
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",26,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",27,"INDONESIA",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",56,"ITALY",69,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",41,"VIET NAM",26,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",14,"THAILAND",20,0,"",40
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",35,"SINGAPORE",56,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",24,"VIET NAM",71,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",17,"THAILAND",26,0,"",69
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",9,"SINGAPORE",30,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",28,"SRI LANKA",39,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","Yes",73,"THAILAND",16,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",12,"VIET NAM",37,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",27,"SINGAPORE",70,0,"",26
"EPX","Travel Agency","Online","Cancellation Plan","No",41,"KOREA, REPUBLIC OF",10,0,"",22
"EPX","Travel Agency","Online","Cancellation Plan","No",34,"CHINA",33,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",5,"HONG KONG",29,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",38,"UNITED STATES",18,0,"",38
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"HONG KONG",21,0,"",53
"EPX","Travel Agency","Online","Cancellation Plan","No",25,"INDIA",20,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"CHINA",24,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"CHINA",16,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",81,"NEPAL",45,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",14,"CHINA",20,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",49,"PHILIPPINES",20,0,"",36
"RAB","Airlines","Online","Value Plan","No",75,"BRUNEI DARUSSALAM",31,12.4,"",78
"RAB","Airlines","Online","Value Plan","No",3,"BRUNEI DARUSSALAM",15,6,"",48
"SSI","Airlines","Online","Ticket Protector","No",13,"SINGAPORE",5.09,1.43,"",48
"JZI","Airlines","Online","Basic Plan","No",4,"MYANMAR",18,6.3,"F",29
"JZI","Airlines","Online","Basic Plan","No",5,"MALAYSIA",18,6.3,"M",40
"JZI","Airlines","Online","Basic Plan","No",104,"JAPAN",35,12.25,"M",38
"JZI","Airlines","Online","Basic Plan","No",7,"TAIWAN, PROVINCE OF CHINA",26,9.1,"M",47
"JZI","Airlines","Online","Basic Plan","No",42,"CHINA",63,22.05,"M",48
"JZI","Airlines","Online","Value Plan","No",131,"UNITED KINGDOM",125,43.75,"F",31
"JZI","Airlines","Online","Value Plan","No",36,"UNITED KINGDOM",87,30.45,"M",51
"CSR","Travel Agency","Offline","Comprehensive Plan","No",92,"MALAYSIA",29,9.57,"F",72
"CSR","Travel Agency","Offline","Comprehensive Plan","No",92,"MALAYSIA",29,9.57,"F",77
"CCR","Travel Agency","Offline","Comprehensive Plan","No",5,"MALAYSIA",29,9.57,"F",118
"C2B","Airlines","Online","Bronze Plan","No",4,"SINGAPORE",17.55,4.39,"F",22
"C2B","Airlines","Online","Bronze Plan","No",179,"SINGAPORE",682,170.5,"M",25
"C2B","Airlines","Online","Bronze Plan","No",5,"SINGAPORE",17.55,4.39,"M",25
"C2B","Airlines","Online","Bronze Plan","No",31,"SINGAPORE",38.35,9.59,"F",56
"C2B","Airlines","Online","Silver Plan","No",18,"SINGAPORE",71,17.75,"M",42
"C2B","Airlines","Online","Silver Plan","Yes",11,"SINGAPORE",62.25,15.56,"M",33
"C2B","Airlines","Online","Silver Plan","No",61,"SINGAPORE",25.9,6.47,"M",37
"C2B","Airlines","Online","Annual Silver Plan","Yes",365,"SINGAPORE",187.85,46.96,"M",32
"C2B","Airlines","Online","Annual Silver Plan","No",386,"SINGAPORE",252.85,63.21,"F",33
"C2B","Airlines","Online","Annual Gold Plan","No",369,"SINGAPORE",389.35,97.34,"M",42
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",86,"MALAYSIA",39.6,23.76,"",43
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",2,"MALAYSIA",9.9,5.94,"",67
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",32,"MALAYSIA",0,89.1,"",45
